YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
焦虑强迫,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
分裂样,-1,-1,-1,-1,-1
抑郁退缩,-1,-1,-1,-1,-1
不成熟多动,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
残忍,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
焦虑强迫,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
分裂样,-1,-1,-1,-1,-1
抑郁退缩,-1,-1,-1,-1,-1
不成熟多动,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
残忍,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
焦虑强迫,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
分裂样,-1,-1,-1,-1,-1
抑郁退缩,-1,-1,-1,-1,-1
不成熟多动,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
残忍,-1,-1,-1,-1,-1
