YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
社会退缩因子,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
抑郁因子,-1,-1,-1,-1,-1
不成熟,-1,-1,-1,-1,-1
性问题,-1,-1,-1,-1,-1
分裂样,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
社会退缩因子,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
抑郁因子,-1,-1,-1,-1,-1
不成熟,-1,-1,-1,-1,-1
性问题,-1,-1,-1,-1,-1
分裂样,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
YZ,CD1BOTTOM,CD1TOP,CD2BOTTOM,CD2TOP,CD3BOTTOM
社会退缩因子,-1,-1,-1,-1,-1
躯体诉述,-1,-1,-1,-1,-1
抑郁因子,-1,-1,-1,-1,-1
不成熟,-1,-1,-1,-1,-1
性问题,-1,-1,-1,-1,-1
分裂样,-1,-1,-1,-1,-1
攻击,-1,-1,-1,-1,-1
违纪,-1,-1,-1,-1,-1
