YZ,CD1TOP,CD1BOTTOM,CD2BOTTOM,CD2TOP,CD3BOTTOM,CD3TOP,CD4BOTTOM,CD4TOP,CD5BOTTOM,CD5TOP,CD6TOP
智力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
社会活动和领导能力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
身体能力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
总分,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
美术创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
音乐创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
YZ,CD1TOP,CD1BOTTOM,CD2BOTTOM,CD2TOP,CD3BOTTOM,CD3TOP,CD4BOTTOM,CD4TOP,CD5BOTTOM,CD5TOP,CD6TOP
智力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
社会活动和领导能力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
身体能力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
总分,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
美术创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
音乐创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
YZ,CD1TOP,CD1BOTTOM,CD2BOTTOM,CD2TOP,CD3BOTTOM,CD3TOP,CD4BOTTOM,CD4TOP,CD5BOTTOM,CD5TOP,CD6TOP
智力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
社会活动和领导能力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
身体能力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
总分,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
美术创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
音乐创造力,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
