FREEDEGREE,FIVEDOUBLE,ONEDOUBLE,FIVESINGLE,ONESINGLE
1,12.706,63.657,6.314,31.821
2,4.303,9.925,2.92,6.965
3,3.182,5.841,2.353,4.541
4,2.776,4.604,2.132,3.747
5,2.571,4.032,2.015,3.365
6,2.447,3.707,1.943,3.143
7,2.365,3.499,1.896,2.998
8,2.306,3.355,1.86,2.896
9,2.262,3.25,1.833,2.821
10,2.228,3.169,1.812,2.764
11,2.201,3.106,1.796,2.718
12,2.179,3.055,1.782,2.681
13,2.16,3.012,1.771,2.65
14,2.145,2.977,1.761,2.624
15,2.131,2.947,1.753,2.602
16,2.12,2.921,1.746,2.583
17,2.11,2.898,1.74,2.567
18,2.101,2.878,1.734,2.552
19,2.093,2.861,1.729,2.539
20,2.086,2.845,1.725,2.528
21,2.08,2.831,1.721,2.518
22,2.074,2.819,1.717,2.508
23,2.069,2.807,1.714,2.5
24,2.064,2.797,1.711,2.492
25,2.06,2.787,1.708,2.485
26,2.056,2.779,1.706,2.479
27,2.052,2.771,1.703,2.473
28,2.048,2.763,1.701,2.467
29,2.045,2.756,1.699,2.462
30,2.042,2.75,1.697,2.457
31,2.04,2.744,1.696,2.453
32,2.037,2.738,1.694,2.449
33,2.035,2.733,1.692,2.445
34,2.032,2.728,1.691,2.441
35,2.03,2.724,1.69,2.438
36,2.028,2.719,1.688,2.434
37,2.026,2.715,1.687,2.431
38,2.024,2.712,1.686,2.429
39,2.023,2.708,1.685,2.426
40,2.021,2.704,1.684,2.423
50,2.009,2.678,1.676,2.403
60,2.0,2.66,1.671,2.39
70,1.994,2.648,1.667,2.381
80,1.99,2.639,1.664,2.374
90,1.987,2.632,1.662,2.368
100,1.984,2.626,1.66,2.364
120,1.98,2.617,1.658,2.358
200,1.972,2.601,1.653,2.345
500,1.965,2.586,1.648,2.334
1000,1.962,2.581,1.646,2.33
10000,1.96,2.576,1.645,2.326
FREEDEGREE,FIVEDOUBLE,ONEDOUBLE,FIVESINGLE,ONESINGLE
1,12.706,63.657,6.314,31.821
2,4.303,9.925,2.92,6.965
3,3.182,5.841,2.353,4.541
4,2.776,4.604,2.132,3.747
5,2.571,4.032,2.015,3.365
6,2.447,3.707,1.943,3.143
7,2.365,3.499,1.896,2.998
8,2.306,3.355,1.86,2.896
9,2.262,3.25,1.833,2.821
10,2.228,3.169,1.812,2.764
11,2.201,3.106,1.796,2.718
12,2.179,3.055,1.782,2.681
13,2.16,3.012,1.771,2.65
14,2.145,2.977,1.761,2.624
15,2.131,2.947,1.753,2.602
16,2.12,2.921,1.746,2.583
17,2.11,2.898,1.74,2.567
18,2.101,2.878,1.734,2.552
19,2.093,2.861,1.729,2.539
20,2.086,2.845,1.725,2.528
21,2.08,2.831,1.721,2.518
22,2.074,2.819,1.717,2.508
23,2.069,2.807,1.714,2.5
24,2.064,2.797,1.711,2.492
25,2.06,2.787,1.708,2.485
