SEX,AGE,YZ,BOTTOM,TOP
男,3-5岁,品行问题,-1,-1
男,3-5岁,多动问题,-1,-1
男,3-5岁,不注意-被动,-1,-1
男,3-5岁,多动指数,-1,-1
男,6-8岁,品行问题,-1,-1
男,6-8岁,多动问题,-1,-1
男,6-8岁,不注意-被动,-1,-1
男,6-8岁,多动指数,-1,-1
男,9-11岁,品行问题,-1,-1
男,9-11岁,多动问题,-1,-1
男,9-11岁,不注意-被动,-1,-1
男,9-11岁,多动指数,-1,-1
男,12-14岁,品行问题,-1,-1
男,12-14岁,多动问题,-1,-1
男,12-14岁,不注意-被动,-1,-1
男,12-14岁,多动指数,-1,-1
男,15-17岁,品行问题,-1,-1
男,15-17岁,多动问题,-1,-1
男,15-17岁,不注意-被动,-1,-1
男,15-17岁,多动指数,-1,-1
女,3-5岁,品行问题,-1,-1
女,3-5岁,多动问题,-1,-1
女,3-5岁,不注意-被动,-1,-1
女,3-5岁,多动指数,-1,-1
女,6-8岁,品行问题,-1,-1
女,6-8岁,多动问题,-1,-1
女,6-8岁,不注意-被动,-1,-1
女,6-8岁,多动指数,-1,-1
女,9-11岁,品行问题,-1,-1
女,9-11岁,多动问题,-1,-1
女,9-11岁,不注意-被动,-1,-1
女,9-11岁,多动指数,-1,-1
女,12-14岁,品行问题,-1,-1
女,12-14岁,多动问题,-1,-1
女,12-14岁,不注意-被动,-1,-1
女,12-14岁,多动指数,-1,-1
女,15-17岁,品行问题,-1,-1
女,15-17岁,多动问题,-1,-1
女,15-17岁,不注意-被动,-1,-1
女,15-17岁,多动指数,-1,-1
SEX,AGE,YZ,BOTTOM,TOP
男,3-5岁,品行问题,-1,-1
男,3-5岁,多动问题,-1,-1
男,3-5岁,不注意-被动,-1,-1
男,3-5岁,多动指数,-1,-1
男,6-8岁,品行问题,-1,-1
男,6-8岁,多动问题,-1,-1
男,6-8岁,不注意-被动,-1,-1
男,6-8岁,多动指数,-1,-1
男,9-11岁,品行问题,-1,-1
男,9-11岁,多动问题,-1,-1
男,9-11岁,不注意-被动,-1,-1
男,9-11岁,多动指数,-1,-1
男,12-14岁,品行问题,-1,-1
男,12-14岁,多动问题,-1,-1
男,12-14岁,不注意-被动,-1,-1
男,12-14岁,多动指数,-1,-1
男,15-17岁,品行问题,-1,-1
男,15-17岁,多动问题,-1,-1
男,15-17岁,不注意-被动,-1,-1
男,15-17岁,多动指数,-1,-1
女,3-5岁,品行问题,-1,-1
女,3-5岁,多动问题,-1,-1
女,3-5岁,不注意-被动,-1,-1
女,3-5岁,多动指数,-1,-1
女,6-8岁,品行问题,-1,-1
女,6-8岁,多动问题,-1,-1
女,6-8岁,不注意-被动,-1,-1
女,6-8岁,多动指数,-1,-1
女,9-11岁,品行问题,-1,-1
女,9-11岁,多动问题,-1,-1
女,9-11岁,不注意-被动,-1,-1
女,9-11岁,多动指数,-1,-1
女,12-14岁,品行问题,-1,-1
女,12-14岁,多动问题,-1,-1
女,12-14岁,不注意-被动,-1,-1
女,12-14岁,多动指数,-1,-1
女,15-17岁,品行问题,-1,-1
女,15-17岁,多动问题,-1,-1
女,15-17岁,不注意-被动,-1,-1
女,15-17岁,多动指数,-1,-1
SEX,AGE,YZ,BOTTOM,TOP
男,3-5岁,品行问题,-1,-1
男,3-5岁,多动问题,-1,-1
男,3-5岁,不注意-被动,-1,-1
男,3-5岁,多动指数,-1,-1
男,6-8岁,品行问题,-1,-1
男,6-8岁,多动问题,-1,-1
男,6-8岁,不注意-被动,-1,-1
男,6-8岁,多动指数,-1,-1
男,9-11岁,品行问题,-1,-1
男,9-11岁,多动问题,-1,-1
男,9-11岁,不注意-被动,-1,-1
男,9-11岁,多动指数,-1,-1
男,12-14岁,品行问题,-1,-1
男,12-14岁,多动问题,-1,-1
男,12-14岁,不注意-被动,-1,-1
男,12-14岁,多动指数,-1,-1
男,15-17岁,品行问题,-1,-1
男,15-17岁,多动问题,-1,-1
男,15-17岁,不注意-被动,-1,-1
男,15-17岁,多动指数,-1,-1
女,3-5岁,品行问题,-1,-1
女,3-5岁,多动问题,-1,-1
女,3-5岁,不注意-被动,-1,-1
女,3-5岁,多动指数,-1,-1
女,6-8岁,品行问题,-1,-1
女,6-8岁,多动问题,-1,-1
女,6-8岁,不注意-被动,-1,-1
女,6-8岁,多动指数,-1,-1
女,9-11岁,品行问题,-1,-1
女,9-11岁,多动问题,-1,-1
女,9-11岁,不注意-被动,-1,-1
女,9-11岁,多动指数,-1,-1
女,12-14岁,品行问题,-1,-1
女,12-14岁,多动问题,-1,-1
女,12-14岁,不注意-被动,-1,-1
女,12-14岁,多动指数,-1,-1
女,15-17岁,品行问题,-1,-1
女,15-17岁,多动问题,-1,-1
女,15-17岁,不注意-被动,-1,-1
女,15-17岁,多动指数,-1,-1
